index,Order ID,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,Amount,ship-city,ship-state,ship-country,Month,Day,Year
433,407-7607527-1189964,Shipped - Rejected by Buyer,Merchant,Amazon.in,Standard,J0096,J0096-KR-S,kurta,S,B089G356KM,Shipped,1,568.0,RAMANAGARA,KARNATAKA,IN,04,30,22
4017,408-3647481-1358717,Shipped - Lost in Transit,Merchant,Amazon.in,Standard,SET304,SET304-KR-DPT-XXL,Set,XXL,B09K3YHSDV,Shipped,1,0.0,BENGALURU,KARNATAKA,IN,04,28,22
4023,408-6812579-8773938,Shipped - Lost in Transit,Merchant,Amazon.in,Standard,J0005,J0005-DR-XL,Western Dress,XL,B08B3YB1FR,Shipped,1,0.0,BENGALURU,KARNATAKA,IN,04,28,22
4546,402-7273102-2737104,Shipped - Rejected by Buyer,Merchant,Amazon.in,Standard,J0003,J0003-SET-XXL,Set,XXL,B0894XKVH3,Shipped,1,654.0,NASHIK,MAHARASHTRA,IN,04,27,22
16633,406-2528038-8442757,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET397,SET397-KR-NP-XS,Set,XS,B09RKDH2BT,Shipped,1,1115.0,DULIAJAN,ASSAM,IN,04,20,22
30816,408-4805720-2828314,Shipped - Rejected by Buyer,Merchant,Amazon.in,Standard,SET144,SET144-KR-NP-XS,Set,XS,B0822RTHVK,Shipped,1,788.0,FARIDABAD,HARYANA,IN,04,12,22
31084,402-2733877-9862735,Shipped - Rejected by Buyer,Merchant,Amazon.in,Standard,SET257,SET257-KR-PP-S,Set,S,B0983FN98F,Shipped,1,568.0,VISAKHAPATNAM,ANDHRA PRADESH,IN,04,12,22
33352,406-9302740-6397127,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET364,SET364-KR-NP-L,Set,L,B09QJ495SF,Shipped,1,1126.0,SINGRAULI,MADHYA PRADESH,IN,04,10,22
37098,405-6274687-2899536,Shipped - Rejected by Buyer,Merchant,Amazon.in,Standard,JNE3834,JNE3834-KR-M,kurta,M,B09Q3HSG1T,Shipped,1,521.0,PUNE,MAHARASHTRA,IN,04,08,22
43274,403-7550590-0976321,Shipped - Rejected by Buyer,Merchant,Amazon.in,Standard,J0304,J0304-TP-XXXL,Top,3XL,B099S7YCZY,Shipped,1,297.0,URAN ISLAMPUR,MAHARASHTRA,IN,04,04,22
49186,408-0131862-2469171,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,J0003,J0003-SET-M,Set,M,B0894XH3LN,Shipped,1,696.0,Guntur,ANDHRA PRADESH,IN,05,31,22
51341,405-0091036-1962761,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,JNE3476,JNE3476-KR-L,kurta,L,B08B3YN5Y7,Shipped,1,405.0,PORT BLAIR,ANDAMAN & NICOBAR ,IN,05,30,22
52733,402-3092086-7905940,Shipped - Lost in Transit,Merchant,Amazon.in,Standard,SET397,SET397-KR-NP-S,Set,S,B09RKF9GZQ,Shipped,1,999.0,BHINMAL,RAJASTHAN,IN,05,29,22
57215,171-2621701-3445110,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,BTM029,BTM029-NP-XS,Bottom,XS,B0845Z3SQS,Shipped,1,518.0,PORT BLAIR,ANDAMAN & NICOBAR ,IN,05,25,22
63998,171-9420000-3901949,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,J0117,J0117-TP-XL,Top,XL,B08N4H7B3Y,Shipped,1,545.0,Mumbai,MAHARASHTRA,IN,05,19,22
68542,171-8470430-8735521,Shipped - Lost in Transit,Merchant,Amazon.in,Standard,JNE3629,JNE3629-KR-XL,kurta,XL,B08W1PHJSG,Shipped,1,499.0,Bengaluru,KARNATAKA,IN,05,16,22
68543,171-8470430-8735521,Shipped - Lost in Transit,Merchant,Amazon.in,Standard,JNE3724,JNE3724-KR-XL,kurta,XL,B097ZZZ37J,Shipped,1,499.0,Bengaluru,KARNATAKA,IN,05,16,22
68653,403-7422899-4877954,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET341,SET341-KR-NP-XL,Set,XL,B09NPX3HG3,Shipped,1,857.0,DIMAPUR,NAGALAND,IN,05,16,22
68654,403-7422899-4877954,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET341,SET341-KR-NP-XXL,Set,XXL,B09NPWD7J2,Shipped,1,857.0,DIMAPUR,NAGALAND,IN,05,16,22
68655,403-7422899-4877954,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET341,SET341-KR-NP-XXXL,Set,3XL,B09NPXRTKD,Shipped,1,857.0,DIMAPUR,NAGALAND,IN,05,16,22
68656,403-7422899-4877954,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET341,SET341-KR-NP-L,Set,L,B09NPXCZZG,Shipped,2,1714.0,DIMAPUR,NAGALAND,IN,05,16,22
69557,171-5513874-0201147,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET389,SET389-KR-NP-XL,Set,XL,B09KXW4WQC,Shipped,1,648.0,THANE,MAHARASHTRA,IN,05,15,22
72121,407-5583901-8387568,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET321,SET321-KR-DPT-M,Set,M,B09KXW37V8,Shipped,1,967.0,PUNE,MAHARASHTRA,IN,05,13,22
72122,407-5583901-8387568,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET304,SET304-KR-DPT-L,Set,L,B09K3S3FFN,Shipped,1,1186.0,PUNE,MAHARASHTRA,IN,05,13,22
73327,403-1071980-5793162,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,JNE3797,JNE3797-KR-A-XXL,Western Dress,XXL,B09TH3MNW7,Shipped,1,771.0,PALAKKAD,KERALA,IN,05,12,22
73328,403-1071980-5793162,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,JNE3800,JNE3800-KR-A-XXL,Western Dress,XXL,B09TH5KHC9,Shipped,1,771.0,PALAKKAD,KERALA,IN,05,12,22
88502,406-4823238-5865152,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,JNE3680,JNE3680-TU-M,Top,M,B09438FK2J,Shipped,1,574.0,SURAT,Gujarat,IN,05,02,22
93615,405-4218381-9877124,Shipped - Rejected by Buyer,Merchant,Amazon.in,Standard,SET333,SET333-KR-DPT-M,Set,M,B09RKF4FNJ,Shipped,1,967.0,VIZIANAGARAM,ANDHRA PRADESH,IN,06,27,22
94720,407-0581356-6051563,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET385,SET385-KR-NP-L,Set,L,B09K3Z4GHN,Shipped,1,629.0,Meerut,UTTAR PRADESH,IN,06,26,22
95472,405-5992828-8819521,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET335,SET335-KR-NP-M,Set,M,B09Y3F5F8Q,Shipped,1,771.0,CHANDIGARH,CHANDIGARH,IN,06,25,22
95618,402-5161581-8154727,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,SET405,SET405-KR-NP-M,Set,M,B09QJ5M6TW,Shipped,1,771.0,RUDRAPRAYAG,UTTARAKHAND,IN,06,25,22
95992,405-6435891-5057136,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,JNE3674,JNE3674-TU-L,Top,L,B09434VXFX,Shipped,1,574.0,KARANJA,MAHARASHTRA,IN,06,25,22
96123,404-0469525-1738742,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,JNE3665,JNE3665-TP-M,Top,M,B098755S1W,Shipped,1,545.0,NOIDA,UTTAR PRADESH,IN,06,25,22
96131,171-4438130-3058704,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,J0008,J0008-SKD-S,Set,S,B0894XGJ83,Shipped,1,1075.0,PUNE,MAHARASHTRA,IN,06,25,22
96257,405-4654917-3844360,Shipped - Returning to Seller,Merchant,Amazon.in,Standard,J0241,J0241-SKD-S,Set,S,B0925VXHMW,Shipped,1,1338.0,Ghaziabad,UTTAR PRADESH,IN,06,25,22
